Wednesday,4/09/2019,1 USD =,71.9798 INR,
Tuesday,3/09/2019,1 USD =,72.1471 INR,
Monday,2/09/2019,1 USD =,71.9725 INR,
Sunday,1/09/2019,1 USD =,71.7405 INR,
Saturday,31/08/2019,1 USD =,71.74 INR,
Friday,30/08/2019,1 USD =,71.74 INR,
Thursday,29/08/2019,1 USD =,71.691 INR,
Wednesday,28/08/2019,1 USD =,71.8259 INR,
Tuesday,27/08/2019,1 USD =,71.5472 INR,
Monday,26/08/2019,1 USD =,71.9559 INR,
Sunday,25/08/2019,1 USD =,71.509 INR,
Saturday,24/08/2019,1 USD =,71.8196 INR,
Friday,23/08/2019,1 USD =,71.8255 INR,
Thursday,22/08/2019,1 USD =,71.9293 INR,
Wednesday,21/08/2019,1 USD =,71.4451 INR,
Tuesday,20/08/2019,1 USD =,71.4833 INR,
Monday,19/08/2019,1 USD =,71.6763 INR,
Sunday,18/08/2019,1 USD =,71.1442 INR,
Saturday,17/08/2019,1 USD =,71.143 INR,
Friday,16/08/2019,1 USD =,71.143 INR,
Thursday,15/08/2019,1 USD =,71.4223 INR,
Wednesday,14/08/2019,1 USD =,71.6189 INR,
Tuesday,13/08/2019,1 USD =,71.1242 INR,
Monday,12/08/2019,1 USD =,71.2815 INR,
Sunday,11/08/2019,1 USD =,71.0455 INR,
Saturday,10/08/2019,1 USD =,71.0423 INR,
Friday,9/08/2019,1 USD =,71.0423 INR,
Thursday,8/08/2019,1 USD =,70.4168 INR,
Wednesday,7/08/2019,1 USD =,71.1905 INR,
Tuesday,6/08/2019,1 USD =,70.9137 INR,
Monday,5/08/2019,1 USD =,71.128 INR,
Sunday,4/08/2019,1 USD =,69.6653 INR,
Saturday,3/08/2019,1 USD =,69.667 INR,
Friday,2/08/2019,1 USD =,69.667 INR,
Thursday,1/08/2019,1 USD =,69.3056 INR,
Wednesday,31/07/2019,1 USD =,69.009 INR,
Tuesday,30/07/2019,1 USD =,68.8499 INR,
Monday,29/07/2019,1 USD =,68.7302 INR,
Sunday,28/07/2019,1 USD =,68.88 INR,
Saturday,27/07/2019,1 USD =,68.8603 INR,
Friday,26/07/2019,1 USD =,68.8603 INR,
Thursday,25/07/2019,1 USD =,69.1406 INR,
Wednesday,24/07/2019,1 USD =,68.981 INR,
Tuesday,23/07/2019,1 USD =,69.0293 INR,
Monday,22/07/2019,1 USD =,68.93 INR,
Sunday,21/07/2019,1 USD =,68.8378 INR,
Saturday,20/07/2019,1 USD =,68.9355 INR,
Friday,19/07/2019,1 USD =,68.9371 INR,
Thursday,18/07/2019,1 USD =,68.7339 INR,
Wednesday,17/07/2019,1 USD =,68.796 INR,
Tuesday,16/07/2019,1 USD =,68.6731 INR,
Monday,15/07/2019,1 USD =,68.5368 INR,
Sunday,14/07/2019,1 USD =,68.5559 INR,
Saturday,13/07/2019,1 USD =,68.5604 INR,
Friday,12/07/2019,1 USD =,68.5604 INR,
Thursday,11/07/2019,1 USD =,68.4718 INR,
Wednesday,10/07/2019,1 USD =,68.374 INR,
Tuesday,9/07/2019,1 USD =,68.5491 INR,
Monday,8/07/2019,1 USD =,68.6229 INR,
Sunday,7/07/2019,1 USD =,68.45 INR,
Saturday,6/07/2019,1 USD =,68.4499 INR,
Friday,5/07/2019,1 USD =,68.4503 INR,
Thursday,4/07/2019,1 USD =,68.5488 INR,
Wednesday,3/07/2019,1 USD =,68.7993 INR,
Tuesday,2/07/2019,1 USD =,68.8455 INR,
Monday,1/07/2019,1 USD =,68.9048 INR,
Sunday,30/06/2019,1 USD =,68.9499 INR,
Saturday,29/06/2019,1 USD =,68.9507 INR,
Friday,28/06/2019,1 USD =,68.9507 INR,
Thursday,27/06/2019,1 USD =,69.0564 INR,
Wednesday,26/06/2019,1 USD =,69.2464 INR,
Tuesday,25/06/2019,1 USD =,69.3316 INR,
Monday,24/06/2019,1 USD =,69.2623 INR,
Sunday,23/06/2019,1 USD =,69.5777 INR,
Saturday,22/06/2019,1 USD =,69.58 INR,
Friday,21/06/2019,1 USD =,69.58 INR,
Thursday,20/06/2019,1 USD =,69.5201 INR,
Wednesday,19/06/2019,1 USD =,69.6089 INR,
Tuesday,18/06/2019,1 USD =,69.4808 INR,
Monday,17/06/2019,1 USD =,69.8784 INR,
Sunday,16/06/2019,1 USD =,69.7813 INR,
Saturday,15/06/2019,1 USD =,69.8789 INR,
Friday,14/06/2019,1 USD =,69.8798 INR,
Thursday,13/06/2019,1 USD =,69.5591 INR,
Wednesday,12/06/2019,1 USD =,69.416 INR,
Tuesday,11/06/2019,1 USD =,69.3975 INR,
Monday,10/06/2019,1 USD =,69.5114 INR,
Sunday,9/06/2019,1 USD =,69.3532 INR,
Saturday,8/06/2019,1 USD =,69.39 INR,
Friday,7/06/2019,1 USD =,69.39 INR,
Thursday,6/06/2019,1 USD =,69.1263 INR,
Wednesday,5/06/2019,1 USD =,69.4006 INR,
Tuesday,4/06/2019,1 USD =,69.3155 INR,
Monday,3/06/2019,1 USD =,69.1697 INR,
Sunday,2/06/2019,1 USD =,69.5781 INR,
Saturday,1/06/2019,1 USD =,69.5795 INR,
Friday,31/05/2019,1 USD =,69.5795 INR,
Thursday,30/05/2019,1 USD =,69.7315 INR,
Wednesday,29/05/2019,1 USD =,69.8254 INR,
Tuesday,28/05/2019,1 USD =,69.6532 INR,
Monday,27/05/2019,1 USD =,69.4988 INR,
Sunday,26/05/2019,1 USD =,69.3689 INR,
Saturday,25/05/2019,1 USD =,69.3802 INR,
Friday,24/05/2019,1 USD =,69.38 INR,
Thursday,23/05/2019,1 USD =,69.6695 INR,
Wednesday,22/05/2019,1 USD =,69.6595 INR,
Tuesday,21/05/2019,1 USD =,69.646 INR,
Monday,20/05/2019,1 USD =,69.8365 INR,
Sunday,19/05/2019,1 USD =,70.2901 INR,
Saturday,18/05/2019,1 USD =,70.3481 INR,
Friday,17/05/2019,1 USD =,70.3481 INR,
Thursday,16/05/2019,1 USD =,70.1877 INR,
Wednesday,15/05/2019,1 USD =,70.2475 INR,
Tuesday,14/05/2019,1 USD =,70.3314 INR,
Monday,13/05/2019,1 USD =,70.571 INR,
Sunday,12/05/2019,1 USD =,69.9325 INR,
Saturday,11/05/2019,1 USD =,69.9316 INR,
Friday,10/05/2019,1 USD =,69.9316 INR,
Thursday,9/05/2019,1 USD =,70.2074 INR,
Wednesday,8/05/2019,1 USD =,69.7195 INR,
Tuesday,7/05/2019,1 USD =,69.6214 INR,
Monday,6/05/2019,1 USD =,69.3352 INR,
Sunday,5/05/2019,1 USD =,69.1775 INR,
Saturday,4/05/2019,1 USD =,69.1779 INR,
Friday,3/05/2019,1 USD =,69.1779 INR,
Thursday,2/05/2019,1 USD =,69.4321 INR,
Wednesday,1/05/2019,1 USD =,69.6362 INR,
Tuesday,30/04/2019,1 USD =,69.5668 INR,
Monday,29/04/2019,1 USD =,69.8236 INR,
Sunday,28/04/2019,1 USD =,69.8519 INR,
Saturday,27/04/2019,1 USD =,69.8533 INR,
Friday,26/04/2019,1 USD =,69.8537 INR,
Thursday,25/04/2019,1 USD =,70.1707 INR,
Wednesday,24/04/2019,1 USD =,70.1062 INR,
Tuesday,23/04/2019,1 USD =,69.7645 INR,
Monday,22/04/2019,1 USD =,69.6925 INR,
Sunday,21/04/2019,1 USD =,69.3678 INR,
Saturday,20/04/2019,1 USD =,69.3898 INR,
Friday,19/04/2019,1 USD =,69.3898 INR,
Thursday,18/04/2019,1 USD =,69.415 INR,
Wednesday,17/04/2019,1 USD =,69.4279 INR,
Tuesday,16/04/2019,1 USD =,69.5428 INR,
Monday,15/04/2019,1 USD =,69.4549 INR,
Sunday,14/04/2019,1 USD =,69.1746 INR,
Saturday,13/04/2019,1 USD =,69.1627 INR,
Friday,12/04/2019,1 USD =,69.1614 INR,
Thursday,11/04/2019,1 USD =,69.0444 INR,
Wednesday,10/04/2019,1 USD =,69.1503 INR,
Tuesday,9/04/2019,1 USD =,69.2713 INR,
Monday,8/04/2019,1 USD =,69.561 INR,
Sunday,7/04/2019,1 USD =,69.1704 INR,
Saturday,6/04/2019,1 USD =,69.2308 INR,
Friday,5/04/2019,1 USD =,69.2308 INR,
Thursday,4/04/2019,1 USD =,68.9778 INR,
Wednesday,3/04/2019,1 USD =,68.4252 INR,
Tuesday,2/04/2019,1 USD =,68.9373 INR,
Monday,1/04/2019,1 USD =,69.2036 INR,
Sunday,31/03/2019,1 USD =,69.3798 INR,
Saturday,30/03/2019,1 USD =,69.4401 INR,
Friday,29/03/2019,1 USD =,69.4393 INR,
Thursday,28/03/2019,1 USD =,69.1929 INR,
Wednesday,27/03/2019,1 USD =,69.0703 INR,
